Galaxy,chi2_Quat,AIC_Quat,BIC_Quat,M_solar_Quat,rs_kpc_Quat,epsilon_Quat,chi2_LCDM,AIC_LCDM,BIC_LCDM,chi2_MOND,AIC_MOND,BIC_MOND,Best_Model
UGC04499_rotmod,222.60283948980623,228.60283948980623,229.19451322181487,20449234656.81511,19.432927666170748,4933.7129060463585,217.72895286140354,225.72895286140354,226.51785117074843,5450.968894291735,5456.968894291735,5457.560568023743,LCDM
NGC4559_rotmod,415.21152153784175,421.21152153784175,425.60872924624096,80046657317.99835,19.8905325351996,4957.800396259228,286.12567230977686,294.12567230977686,299.98861592097575,11761.554932370935,11767.554932370935,11771.952140079335,LCDM
D512-2_rotmod,14.034858509778232,20.034858509778232,18.193741593137904,3519268667.3288503,15.885557214408959,5010.59578428599,24.892724399957427,32.89272439995743,30.43790184443699,1012.5456587009921,1018.5456587009921,1016.7045417843518,Quaternionic
UGC06973_rotmod,25.62807533722195,31.62807533722195,32.21974906923061,96953854503.92471,11.837400525750338,4745.669519131633,8.341165147985281,16.34116514798528,17.13006345733016,35.16425552088088,41.16425552088088,41.75592925288954,LCDM
UGC06930_rotmod,78.00968006057144,84.00968006057144,84.91743533955358,55316554084.110695,19.36789361600031,5006.788734997859,60.240202894138676,68.24020289413868,69.45054326611486,2079.5866918004513,2085.5866918004513,2086.4944470794335,LCDM
UGC06923_rotmod,42.30074087729477,48.30074087729477,47.676019284978935,23163490593.26273,17.760762559504208,4780.5068016003115,43.60586884938273,51.60586884938273,50.77290672629495,395.0252320411777,401.0252320411777,400.40051044886184,Quaternionic
NGC2683_rotmod,113.2703529462315,119.2703529462315,120.46403876462661,99590151817.74751,5.915356019225815,4656.634713547443,18.90450121125793,26.90450121125793,28.496082302451413,1425.5360926825115,1431.5360926825115,1432.7297785009066,LCDM
NGC2955_rotmod,16343.281452366276,16349.281452366276,16352.81561385732,202783205283.17572,2.980063131223276,0.04976642988464881,121257.7177750069,121265.7177750069,121270.42999032828,75176.18517997744,75182.18517997744,75185.71934146849,Quaternionic
UGC02953_rotmod,259002.50303844293,259008.50303844293,259016.737834828,164595486700.49213,3.0150987814575414,0.04931730347538844,4886.652866635064,4894.652866635064,4905.632595148517,160200.8347269437,160206.8347269437,160215.06952332877,LCDM
NGC4088_rotmod,233.28440617783082,239.28440617783082,240.73912612719482,99583446208.18546,10.208298974338408,4702.308482855656,99.51484741045338,107.51484741045338,109.45447400960539,851.8920116776055,857.8920116776055,859.3467316269695,LCDM
UGC06983_rotmod,136.5022718374851,142.5022718374851,145.00191186965375,55741860289.062294,19.59095964040318,5210.648778386498,106.96939813212664,114.96939813212664,118.3022515083515,3007.6680181017855,3013.6680181017855,3016.1676581339543,LCDM
NGC4010_rotmod,419.4177789490108,425.4177789490108,426.87249889837483,57027780420.4759,19.71491060279233,4980.131732821493,378.2718454153572,386.2718454153572,388.2114720145092,953.7234379488425,959.7234379488425,961.1781578982065,LCDM
UGC06614_rotmod,317.63130237224686,323.63130237224686,325.3261504446315,99898495584.67413,6.964686873230463,825.9507785077635,69.52806319275392,77.52806319275392,79.78786062260006,1267.27444667174,1273.27444667174,1274.9692947441245,LCDM
NGC2915_rotmod,116.22678908207456,122.22678908207456,126.43038122706102,31861776841.30197,19.220873603131647,4591.994124665355,116.48953187956351,124.48953187956351,130.09432140621215,3088.5598553882405,3094.5598553882405,3098.763447533227,Quaternionic
NGC4068_rotmod,100.91327544351601,106.91327544351601,106.28855385120018,3271386570.8797107,17.231487812566275,5282.432204557735,248.11544607197092,256.11544607197095,255.28248394888314,2174.9185183292384,2180.9185183292384,2180.2937967369226,Quaternionic
F583-1_rotmod,441.6682961326924,447.6682961326924,451.32492360729697,13587199170.53222,19.599270891431985,4966.494284000482,455.4594876136336,463.4594876136336,468.3349909131064,4337.015350223724,4343.015350223724,4346.671977698329,Quaternionic
UGC07690_rotmod,10.352190559938617,16.352190559938617,16.189921007104555,12987935248.26185,16.37216215892914,5168.471832591655,16.991880262680475,24.991880262680475,24.77552085890173,645.3685242246572,651.3685242246572,651.2062546718232,Quaternionic
